URL,Title,Address,Description,Compensation,Employment Type
https://newyork.craigslist.org/brk/egr/d/stainless-welder-needed/6519434581.html,Stainless Welder Needed (Experienced Preferred),,"We are a busy Metal Fabricator located in Brooklyn,NY. We have lots of governmental contracts and we need to find more experienced (preferred) stainless welders. We also offer 401k, health insurance and many other more benefits. 

Preferred requirements:
Process: SMAW / Manual; material: ASTM A 240 Type 316 to ASTM A 240 Type 316
Process: GTAW / Manual; material: ASTM A 240 Type 304L to ASTM A 276 Type 316

If you're a detail oriented person with a team-working spirit, don't hesitate to contact us at
Serious respond ONLY!


Welder, welding, weld, metal, steel, stainless steel, brass, TIG, MIG, STICK, GMAW, GTAW, SMAW, fabrication, machining, fabrication, metalwork, metal shop","Full time, benefits offered",full-time
https://newyork.craigslist.org/wch/egr/d/cad-draftsperson-estimator/6527929547.html,CAD Draftsperson/Estimator,Elmsford,"Draftsman/Estimator for a German Exterior Shading Company  seeks a self-motivated energetic individual no experience needed.

Duties Include: Architectural CAD drawings and shop drawings and details. Prepare detailed quotations, bids and estimates. Analyze architectural drawings and details. May field measure when necessary.

Candidate must have a thorough knowledge of computer programs especially AutoCAD LT , Excel, Word, and possess strong analytical and communication skills with an eye for detail.

BA/BS in architecture or engineering preferred. Drawing, sketching and Auto CAD proficiency necessary.

Competitive salary and benefits package. Light travel. Will be able to travel to our European Factories for training on products.

This position has a lot of growth potential.","$30,000 - $50,000 salary based on experience",full-time
https://newyork.craigslist.org/que/egr/d/project-manager-expediting/6519564416.html,Project Manager - Expediting Firm,,"We are a busy Queens based Department of Buildings expediting firm seeking a full-time Project Manager. 
Responsibilities include:
-	Review of drawings/building plans
-	Prepare all applications for Alt 1, Alt 2 and Alt 3 filings with the Department of Buildings for review and approval
-	Prepare Post Approval Amendments, Letter of Completions and Certificate of Corrections paperwork
-	Maintain strong relationship with clients and provide updates throughout filing process

Qualifications:
-	Minimum two (2) years of experience in the industry
-	Class 2 Filing Representative a plus
-	Strong work ethic, organizational and interpersonal skills are required.
Compensation is 45-60k but is commensurate with experience and education. Hours are 8am-5pm Monday through Friday. Benefits include health coverage, paid vacation and company matched 401k program. 

Please submit your resume, cover letter and salary requirements to Profexpnyc@aol.com",$45k-60k,full-time
https://newyork.craigslist.org/brk/egr/d/intermediate-architect/6519515013.html,Intermediate Architect,brooklyn,"Architectural firm seeking experienced drafter/Architect, to create design drawings as well as preparation for DOB filings.
Applicant should be able to create a clean, clear, set of plans and have a good understanding to construction plans, zoning & code rules, DOB and related agency requirements.

Qualifications:

Proficient in Revit and Auto CAD.
Strong communication and organization skills.
Strong 3D skills.
A professional degree in architecture
Being familiar with NYC Code and Zoning rules.
Expediting and plus.
Please reply with the following:

Cover letter in the body of your email.
Attached resume in PDF format.
Work samples/portfolio attached in PDF format
Compensation requirements.",TBD,full-time
https://newyork.craigslist.org/mnh/egr/d/healthcare-interior-designer/6528141444.html,Healthcare Interior Designer,Chinatown / Lit Italy,"Our client is an international architecture and interior design firm in lower Manhattan. They are seeking a Healthcare Interior Designer to join their growing team. Candidates will have the opportunity to work on local and international healthcare projects. Candidates must have strong technical abilities and be comfortable producing construction document sets.
 
Requirements: 
•	 6+ years of professional experience 
•	Demonstrated experience with healthcare projects
•	Experience in all phases of design and construction documents 
•	Strong communication skills to work with clients and consultants 
•	Proficiency with Revit and AutoCAD
•	Bachelor or Master Degree in Architecture, Interior Design or equivalent 
•	You must be eligible to work in the United States without visa restrictions 

This is a full-time opportunity and offers a competitive salary and benefits package. Please send your resume and work samples in PDF form to: caroline.herrera@opuscareers.com",DOE,full-time
https://newyork.craigslist.org/mnh/egr/d/junior-architect/6519577050.html,Junior Architect,Upper East Side,"Upper East Side design firm focused on residential and interior projects seeks a Junior Architect 2 year experience to join our team full-time. The ideal candidate is motivated, hard-working, and able to multitask throughout all stages of project design. This is a unique opportunity to work independently on a variety of projects.
 
Responsibilities:
- Work effectively with designers, consultants, and contractors
- Communicate clearly with peers and principals regarding goals and guidelines
- Overcome design and detailing challenges with critical problem-solving skills
- Produce high quality work within designated deadlines and budgets
- Be flexible in jumping onto different projects, providing support wherever needed
 
Qualifications:
- B Arch and/or M Arch required
- 2 years of professional/internship experience preferred
- Strong Revit skills mandatory
- Proficient in AutoCAD, Grasshopper, Rhino
- Proficient in Adobe Creative Suite
- Time management & multitasking skills
- Ability to work independently on projects
- Legal US work status / Fluency in written & spoken English

This is a full-time position with benefits after a three month trial period. Candidate must be able to start immediately.

Please email your resume, salary requirements, and samples of your work/ link to an online portfolio.

pdominguez@thefractalgroup.com",Commensurate with experience,full-time
https://newyork.craigslist.org/que/egr/d/estimator-for-queens-based/6519676521.html,Estimator for queens based HVAC company,Maspeth,"ESTIMATOR -- HVAC Mechanical Contractor in need of an estimator
DUTIES:
-	Reviews all bidding documents and establishes a complete understanding of scope of work being bid
-	Visits work site, if practical, and becomes familiar with the actual working conditions for estimating purposes
-	Takes off all materials and prices same, identifies subcontractor involvement, solicits subcontractors and/or manufacturer prices and estimates direst field labor
-	Reviews print outs for any glaring discrepancies, errors and omissions
-	Prepares complete front sheet for project with list or quotes prices and undiscounted labor calculated thereon
-	Reviews front sheet with President and/or VP of Estimating and or designated Executive, identifies any problems that need clarification, qualification or exception
-	Implements discounts established during review and applies designated markup to adjusted net estimated cost
-	Prepares and oversees completing of bid form documents and/or proposal letters
-	Participates in any contract negotiations with client that involves scope of work and estimated quantities or values. Then once the bid and contract is awarded and accepted
-	Assist President in breaking down the total project estimate into identified cost codes using accounting format for formal computerized cost control implementation
-	Assist field staff in man loading progress and manpower schedules utilizing discounted labor units used in obtaining contract, if necessary
-	Assist field staff in breaking project down into dollar values to be used for billing purposes
-	Assist purchasing agent in procuring the equipment and subcontracted services to insure that all conditions of contract documents are identified/accounted for
If you have some or all of these skills, let's talk!",TBD,full-time
https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6519590759.html,Procurement Project Manager with Design/Architecture background needed,Midtown East,"An Interior Finish and FF+E supply company is looking for a qualified and experienced candidate to manage projects throughout the stages of material sourcing, procurement, design consultation, and material installation. This position will serve as the main liaison between our clients and the factories and vendors we work with.
Our typical projects include hotels, high rise residential towers, and apartment complexes. We work with developers and architects to source high quality and unique finishes from global sources.

The Procurement Project Manager will be responsible for:
Bidding, planning, execution and closing of any project brought to the company.
Determination and implementation of clients' needs based on knowledge of the firm, project description and scope of work
Provide the bridging gap between the factory production team and the client.
Handling of all project submittals to and from the client and factories
Providing a Material Take-off to identify and quantify all the materials that are required to accomplish the design/project.
Prepare in a timely fashion the definitive cost estimates based on the design package and take off of the project scope by itemizing it into line items with measured quantities.
Providing and/or reviewing Quality Reports as required per project to uncover defects and allowing or denying product release.
Familiarizing yourself with all products and specifications that the company provides.
Processing of purchase orders, payment request and review invoices for accuracy and approval for payment.
Oversee all procedures for logistics in import/export of shipments, including pick up, delivery and clearing customs.
Provide weekly update to Director of Operations pertaining to project functions

KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:
Strong computer skills, including but not limited to MS Office, Photoshop, Autocad, and On-Screen Takeoff - a PLUS
Excellent relationship building skills.

EDUCATION AND OR EXPERIENCE
Education Requirements: Associates Degree or Higher.
Experience: Minimum of 2 years of experience in interior design, architecture, or a purchasing role",TBD,full-time
https://newyork.craigslist.org/que/egr/d/drafting-estimating-internship/6519766841.html,DRAFTING/ESTIMATING INTERNSHIP,Long Island City,"Our company is offering an internship for a recent graduate with Architectural, Construction Management or Engineering background and interested in real world experience in the Manufacturing Industry.

We are a top fabricator in the Northeast for custom metal facade and roofing components. Our Design & Estimating Department are looking for an individual who is interested in the business, design and developmental aspects of architecture. 

The internship program provides a unique opportunity to gain experience in:
-	Cost Estimation
-	Specs & CD
-	Marketing Strategy and PR
-	Fabrication
-	Installation and Field Relationship

We are looking for interns who are:
-	Self-motivated and able to receive/ use constructive criticism
-	Communicative; willing to ask questions, share their ideas 
-	Team Players willing to work with others
-	Punctual, reliable and responsible
-	Interested in architectural methods/materials in Roofing/Facade


Candidates must have knowledge of Microsoft Office, AutoCad, experience in Rhino is a plus! Interns must be present 20 hrs/week for 3 Months. There will be an opportunity for full time position after 3 Months Internship.

This is not a paid internship however; a lunch and 75% travel stipend will be provided.

Please send a resume and work samples to Craigslist email listed.",Unpaid Internship,part-time
https://newyork.craigslist.org/mnh/egr/d/architectural-professional-3/6516185468.html,Architectural professional 3-7 years' experience,,"We are an established, growing firm, looking for experienced professionals to grow with us.  Our projects are primarily upscale hospitality and leisure, and involve master planning, renovations and new building.  We provide a collegial work environment, competitive benefits, and broad opportunities for professional development. 
Minimum qualifications include: sufficient education and experience to sit for the licensing exam, proficiency with current production and presentation software and project management applications, and good communications skills, both graphic and verbal.  Professional license(s), LEED AP credentials, and fluency in Mandarin are additional highly desirable qualifications.
Please submit a brief resume highlighting your responsibilities and most significant accomplishments, but do not attach work samples/portfolio, except as a link.  In your email/cover letter, please indicate your compensation requirements, and when you would like to come in for an interview.",indicate compensation requirements in reply,full-time
https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6529050068.html,Intermediate Architect,Financial District,"An international full service Architectural practice is seeking an Intermediate Architect for their NYC office.  This is an established firm with a history of design excellence and technical expertise on large-scale projects across all sectors; including commercial, residential, mixed use, transportation, institutional, and entertainment.  The firm offers competitive salary, bonus, and full medical coverage. 

Responsibilities:
- Prepare client presentation materials, design development documentation, construction documentation, contract administration and Authority submissions on a wide variety of projects under guidance from senior architects 
 - Assemble construction drawing sets in REVIT, including: site plans, floor plans, elevations, building sections, wall details, etc.
 - Work with current design techniques, building systems, and keeps current with design trends, code changes, and developments to sustain and improve technical and design skills.
 - Coordinate plans and specifications with project consultants

Qualifications:
 - Minimum 4 years of relevant work experience with large-scale commercial, mixed-use, high-rise residential and institutional projects
 - Proven abilities in the production of meticulous architectural documents through all stages of a project's lifespan --  from schematic design through to construction administration with focus on CD/CA
 - High level of proficiency in current versions of Revit, AutoCAD, and Microsoft Office
 - Well-versed in New York Building Code
 - Strong knowledge of building technology, construction techniques, related engineering principles, sustainability strategies, building codes, and assembly of construction drawing sets.
 - Design and problem-solving skills as well as an appreciation of, and sensitivity to, architectural design intent

Please submit resume and work samples if interested.",Commensurate with experience,full-time
https://newyork.craigslist.org/que/egr/d/estimator-asst-project-manager/6527911560.html,Estimator/Asst. Project Manager,Maspeth,"Industrial Painting Contractor located in Queens, NY is looking for Civil or Environmental Engineering candidates to fill a position as an Estimator/Asst Project Manager.  Task entails, but not limited to, project estimating, oversight of project activities, preparation of project documentation, preparation and submission of cost analysis, ensuring all work complies with company safety and quality standards, ensure project budgets are maintained and effectively communicate with clients. The selected candidate will receive extensive training in estimating and civil engineering construction contract management techniques as they work alongside other experienced engineers.   Opportunity to work on some of the largest and prestigious mega construction projects within the NYC Metro Area.",TBD,full-time
https://newyork.craigslist.org/mnh/egr/d/interior-architect/6507251381.html,Interior Architect,Midtown West,"SBLM Architects, New York office seeks an Interior Architect

Ideal candidate must possess strong design aesthetics that can be applied to a variety of project types we are working on in the Education, Commercial and HealthCare markets.

Qualifications: 
•	Architecture degree. LEED AP Strongly Recommended.
•	4-6 years minimum professional experience.
•	Proficiency with AutoCAD, Photoshop, and a least one 3D Modeling Visualization package required.
•	Proficiency with InDesign, Illustrator, 3DMax, Rhino, SketchUP preferred.
•	Space Planning and furniture layouts. 
•	Selecting furnishings, upholstery, lighting and finishes.
•	Strong knowledge color theory, lighting, and/or environmental graphics a plus.
•	Prepare presentation materials and communicate design ideas 
•	Prepare construction documents with specifications
•	Self-sufficient with the ability to lead a team

Benefits: 
Our benefits include medical, dental and vision insurance, 401K, long-term disability insurance, flexible spending plan, and industry standard paid time off.",Competitive,full-time
https://newyork.craigslist.org/wch/egr/d/landscape-designer-project/6507453017.html,Landscape Designer & Project Manager,Yorktown Heights,"We are a family owned garden center moving into our 63rd year of business.

Our team is looking for self-starting, innovative Landscape Designer who can lead our landscape crew. The project manager will be responsible for continuing business with existing customers, as well as bringing in new clients. Strong written and verbal skills are a must, and applicants should feel comfortable drafting and presenting plans to clients while maintaining a high level of quality, efficiency and customer service. 

You must have a thorough knowledge of landscape horticulture, construction and be able to coordinate  materials and equipment needed for projects. Successfully pricing out projects is a must. Excellent supervisory skills are vital to oversee projects and employees. The ideal candidate would have 5+ years of experience. 

Please send us an email telling us about yourself and include your resume, portfolio, salary requirements and references if available. 

Please use ""Landscape Designer 2018"" in your subject line when replying to this ad. 

Thank you!!",Commensurate with experience,full-time
https://newyork.craigslist.org/mnh/egr/d/junior-architect/6507372387.html,Junior Architect,Chelsea,"Award winning New York City firm specializing in high-end homes seeks project team member with professional architecture degree and 3 to 5 years experience. Interested individuals should have strong interest in traditional residential architecture, possess excellent verbal and written communication skills and be highly organized. Knowledge of traditional details is required. We offer a competitive salary and excellent benefits with growth opportunities in a comfortable and friendly environment.",Competitive salary + benefits,full-time
https://newyork.craigslist.org/brk/egr/d/autocad-operator/6507520096.html,AutoCAD Operator,"Greenpoint, Brooklyn","Well-established Brooklyn company looking for an experienced AutoCAD Operator for jobs in the NYC Metro area. Company is located in Greenpoint, Brooklyn.  This constantly busy business is looking to fill the position immediately.

Needs to have knowledge of Mechanical Drawings. Benefits included

Please email resume to aletaind@aol.com. Give a little of personal and contact info.  This is a full time position",DOE,full-time
https://newyork.craigslist.org/mnh/egr/d/architect/6529026415.html,Architect,SoHo,"Full time positions available with NYC based Architecture and Interior Design firm specializing in a variety of traditional high-end residential projects.  

Seeking project architect and/or architectural draftsman with a minimum of 2 years of experience in a traditional residential architectural office.  We are looking for people with a strong interest in the details and craft of fine residential architecture.  Must be highly organized, strong construction document skills, project management experienced, detail oriented, AutoCAD experienced, and self motivated.   

Please email resume to admin@jsw-arch.com",Compensation based upon experience. Feel free to include salary requirement.,full-time
https://newyork.craigslist.org/mnh/egr/d/achitect-interior-designer/6519686267.html,Achitect / Interior Designer,Chelsea,"Architect/ Interior Designer
RADU ARCHITECTS is seeking part time Architect with office Interiors 7-10 years experience. Experience in all aspects of design and production. Candidate must be able to manage more than one project at one time varying in size.
Candidate should have experience in dealing with clients.
Candidate should have good design sense and be knowledgeable in construction documents. The Architect will be responsible for all or some of the project phases such as; Schematic Design, Design Development, Construction Documents, Custom Millwork Detail and Shop Drawings Review.
Prerequisites:
1.	7-10 years' experience working for a NYC Architectural Firm/ Interior Design firm.
2.	Proficient in producing CD's 
3.	Project Management/Consultants coordination.
4.	Client relations experience
5.	Good design sense.
6.	Technical knowledge of NYC building codes and NYC zoning.
7.	NY Professional License a plus.
Candidate Qualifications:
1.	Excellent oral and written communication skills.
2.	Proficient in creating coordinated construction document sets.
3.	Resolves technical and code issues.
4.	Organize, schedule and administer project constructability schedule.
5.	Produce Schematic Design Proposals.
If qualified, please email your resume",TBD,part-time
https://newyork.craigslist.org/mnh/egr/d/architect-senior-designer/6507589240.html,Architect-Senior Designer | Museum Exhibition Design,Downtown,"An award winning exhibit/museum design firm seeks a Senior Designer with experience designing interactive museum/exhibit design spaces. 
This unique, challenging and exciting role involves development of innovative design concepts that implement the use of hand sketching as well as digital modeling as tools.

The appropriate candidate will have a Bachelor or Masters Degree in Architecture, Interior Design, Industrial Design, or related education in Exhibit/Exhibition Design, 5-10 years of related work experience exhibit/museum design or fabrication, and documented design skills for interactive museum exhibitions for high profile work.

Proficiency in AutoCAD, Adobe Creative Suite, SketchUp and/or Rhino is required.
This position offers a high salary plus a highly competitive benefits and perks package.",90K +,full-time
https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6507758736.html,Exterior Restoration / Recent Graduate,TriBeCa,"New York City's leading professional firm dedicated to the preservation of buildings and infrastructure is seeking a recent graduate with an architecture or structural engineering degree and an interest in preservation of buildings and infrastructure. 

SUPERSTRUCTURES works on an array of challenging projects on many of New York's most prominent buildings. We've won frequent awards, as well as the loyalty of some of the premier clients in the region -- public, corporate and residential.  Our work embraces all components of the building envelope and underlying structure - facades, roofs, windows, and plazas - and the full complement of materials, from landmark terra cotta to high performance curtain walls.  

We work in teams. Teams are assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a ""small office experience"" coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state of the art non-destructive diagnostic equipment and techniques.  

Employees typically participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see the designs you draw executed in the field, and you'll take on greater responsibility and client exposure as soon as you are ready.  

Frequent lunchtime seminars by industry experts, including our own in-house personnel, keep us current on developments in the profession (with the additional benefit of a free lunch).  

SUPERSTRUCTURES offers top-level compensation for top-level people, and the advancement potential of a thriving company.  

We are committed to a work / life balance, and to a work week of 40 hours.  When, on occasion, more than 40 hours are required, our employees are compensated for every additional hour worked. 
Our benefits include paid holidays, vacation and sick days, health insurance for employee and family, 401(k) with automatic employer contribution, a continuing education allowance, and free NYC Transit MetroCards.  

Our light-filled office is in a landmarked building with 16' high ceilings, 8' tall windows, and drop dead views in three directions - not a bad place to spend the workday. 

Our Tribeca location is one of New York City's most convenient and vibrant, easily accessible via public transportation. The A, C, and E subway lines stop right in the building. The N, R, #1, and #6 lines are each just a few blocks away. 

SUPERSTRUCTURES welcomes applications in reply to this posting. Please include a cover letter with salary requirements, your resume, and a few pages of attachments that display your capabilities (maximum of 10MB please).  

Note: Our thanks in advance to those submitting applications; only those candidates under consideration will be contacted.   

For additional information, visit our website at",Commensurate with experience,full-time
https://newyork.craigslist.org/que/egr/d/seeking-mid-and-advanced/6507833228.html,Seeking Mid and Advanced Level Architects,Queens,"Internationally renowned, Queens based Architectural Firm, 
seeks Mid and Advanced Level Architects.
Candidates should be self-starters, and have 
working knowledge of AUTO-CAD and Revit (BIM) Programs.",To be discussed,full-time
